month,carrier,carrier_name,airport,airport_name
8,AS,Alaska Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International"
8,AS,Alaska Airlines Inc.,STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
8,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International"
8,AS,Alaska Airlines Inc.,TUS,"Tucson, AZ: Tucson International"
8,AS,Alaska Airlines Inc.,WRG,"Wrangell, AK: Wrangell Airport"
8,AS,Alaska Airlines Inc.,YAK,"Yakutat, AK: Yakutat Airport"
8,B6,JetBlue Airways,ABQ,"Albuquerque, NM: Albuquerque International Sunport"
8,B6,JetBlue Airways,ACK,"Nantucket, MA: Nantucket Memorial"
8,B6,JetBlue Airways,ALB,"Albany, NY: Albany International"
8,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
8,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International"
8,B6,JetBlue Airways,AVL,"Asheville, NC: Asheville Regional"
8,B6,JetBlue Airways,BDL,"Hartford, CT: Bradley International"
8,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International"
8,B6,JetBlue Airways,BOS,"Boston, MA: Logan International"
8,B6,JetBlue Airways,BQN,"Aguadilla, PR: Rafael Hernandez"
8,B6,JetBlue Airways,BTV,"Burlington, VT: Burlington International"
8,B6,JetBlue Airways,BUF,"Buffalo, NY: Buffalo Niagara International"
8,B6,JetBlue Airways,BUR,"Burbank, CA: Bob Hope"
8,B6,JetBlue Airways,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
8,B6,JetBlue Airways,BZN,"Bozeman, MT: Bozeman Yellowstone International"
8,B6,JetBlue Airways,CHS,"Charleston, SC: Charleston AFB/International"
8,B6,JetBlue Airways,CLE,"Cleveland, OH: Cleveland-Hopkins International"
8,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International"
8,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National"
8,B6,JetBlue Airways,DEN,"Denver, CO: Denver International"
8,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
8,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County"
8,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International"
8,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
8,B6,JetBlue Airways,HPN,"White Plains, NY: Westchester County"
